model,feature,choice,rt,n_memories,true_value,recalled_value,game_number
episodic,Food,1,4.0,5,3,3.330440355212112,8
episodic,Object,0,3.0,3,-2,0.0,8
episodic,Animal,0,3.0,3,-2,0.0,4
episodic,Object,1,2.5,2,3,1.202810951638201,4
episodic,Food,0,3.0,3,-3,-3.5790546582655987,4
episodic,Scene,1,3.0,3,2,3.38545367254531,6
episodic,Food,0,4.5,6,-2,-1.9100284883887504,6
episodic,Object,1,3.5,4,-1,0.4299661434974902,6
episodic,Blue,0,3.0,3,-1,-1.633662365366938,7
episodic,Green,1,4.0,5,-1,0.9977606427804954,7
episodic,Yellow,0,1.5,0,1,0.0,7
episodic,Red,1,3.0,3,2,2.9659291819726565,6
episodic,Green,0,2.5,2,-2,0.0,6
episodic,Blue,0,1.5,0,-3,0.0,6
episodic,Green,1,2.5,2,-1,1.4302714397487655,6
episodic,Red,1,2.5,2,1,0.6305999920811912,6
episodic,Yellow,1,4.0,5,1,1.4214053583672914,6
episodic,Blue,1,3.5,4,2,1.7703536130116349,5
episodic,Green,0,3.5,4,-1,-3.6676287114786135,5
episodic,Yellow,0,2.0,1,-2,0.0,5
episodic,Yellow,0,4.5,6,-2,-1.6767953946188583,6
episodic,Blue,1,3.0,3,2,1.693308692901799,6
episodic,Red,0,1.5,0,1,0.0,6
episodic,Green,0,3.5,4,-1,0.0,1
episodic,Yellow,0,2.5,2,5,0.0,1
episodic,Red,0,3.0,3,-2,0.0,1
episodic,Green,1,2.5,2,3,2.0833473505203135,6
episodic,Yellow,1,4.5,6,1,1.1382851890754369,6
episodic,Red,0,2.5,2,-4,0.0,6
episodic,Yellow,0,3.5,4,-2,0.0,7
episodic,Red,0,1.5,0,2,0.0,7
episodic,Blue,0,2.5,2,2,0.0,7
episodic,Blue,0,2.5,2,1,0.0,3
episodic,Yellow,0,3.0,3,-1,-0.08114859269984565,3
episodic,Red,0,2.5,2,-1,-0.5458541017966599,3
episodic,Scene,0,2.0,1,1,0.0,3
episodic,Food,1,3.0,3,1,3.6281219678501886,3
episodic,Animal,0,2.0,1,-2,-1.4855130598868982,3
episodic,Animal,1,3.0,3,1,2.09066813295501,6
episodic,Food,0,2.0,1,1,0.0,6
episodic,Scene,0,2.0,1,-1,-0.4024172514251134,6
episodic,Red,0,3.5,4,-3,-2.316495906458434,5
episodic,Green,1,3.5,4,1,2.775779099948526,5
episodic,Blue,0,1.5,0,2,0.0,5
episodic,Object,0,2.5,2,-2,-2.1712070594388213,2
episodic,Food,0,3.0,3,-1,-0.9537014522376838,2
episodic,Scene,0,2.0,1,2,0.0,2
episodic,Scene,1,3.5,4,2,0.6592521710230695,1
episodic,Food,0,1.5,0,1,0.0,1
episodic,Animal,0,4.0,5,-2,-1.6019516607997413,1
episodic,Animal,0,2.0,1,-3,-1.3516185527648836,5
episodic,Scene,1,3.0,3,3,0.19593535999903544,5
episodic,Object,0,2.0,1,1,0.0,5
episodic,Green,0,2.0,1,2,0.0,6
episodic,Yellow,0,2.5,2,-1,0.0,6
episodic,Red,0,3.0,3,-1,-2.1132198072926007,6
episodic,Scene,0,2.0,1,-1,0.0,5
episodic,Animal,0,2.5,2,-1,0.0,5
episodic,Food,0,1.5,0,1,0.0,5
episodic,Animal,1,3.0,3,-1,0.04221210924640495,1
episodic,Object,0,3.5,4,1,-0.5113979742263732,1
episodic,Food,0,4.5,6,-1,-1.0894140842230793,1
episodic,Blue,0,2.5,2,-1,0.0,8
episodic,Red,0,3.0,3,-2,-0.6028858795111671,8
episodic,Yellow,0,1.5,0,2,0.0,8
episodic,Blue,1,3.0,3,1,2.330369532084449,2
episodic,Yellow,0,3.0,3,-2,0.0,2
episodic,Green,1,3.0,3,2,1.75201254287155,2
episodic,Green,1,4.0,5,1,1.7206934879608866,5
episodic,Blue,0,3.0,3,-1,0.0,5
episodic,Yellow,0,2.0,1,-1,0.0,5
episodic,Blue,0,3.0,3,1,0.0,1
episodic,Yellow,0,1.5,0,1,0.0,1
episodic,Green,0,3.0,3,-2,-1.3317547798425828,1
episodic,Animal,1,3.0,3,2,2.005770780958638,3
episodic,Scene,0,3.0,3,-1,-0.9005997658962281,3
episodic,Food,1,2.5,2,-2,1.6211330183166974,3
episodic,Food,0,2.0,1,-2,0.0,2
episodic,Scene,0,3.5,4,-1,-1.5434773265026478,2
episodic,Object,1,3.5,4,2,0.7081844212920014,2
episodic,Blue,0,1.5,0,-3,0.0,5
episodic,Green,1,4.5,6,2,2.9826444746281426,5
episodic,Yellow,1,4.5,6,2,1.9823893714810499,5
episodic,Animal,0,3.0,3,1,-0.14263173763306636,8
episodic,Scene,1,4.0,5,1,1.3699567846049134,8
episodic,Food,0,3.0,3,-2,-0.6284562522806619,8
episodic,Yellow,0,1.5,0,-2,0.0,4
episodic,Red,0,3.0,3,-2,0.0,4
episodic,Blue,0,1.5,0,4,0.0,4
episodic,Red,0,3.5,4,1,0.0,3
episodic,Green,0,3.5,4,-2,0.0,3
episodic,Yellow,1,3.0,3,1,4.127492683298823,3
episodic,Object,0,3.0,3,-1,-2.387360155941525,1
episodic,Scene,0,2.0,1,1,0.0,1
episodic,Food,0,2.5,2,-1,-1.1195943791460656,1
episodic,Object,0,3.0,3,-3,-1.9570652348711521,8
episodic,Animal,1,2.5,2,-1,0.6487708158043655,8
episodic,Food,1,3.0,3,1,0.9131800326709082,8
episodic,Scene,0,1.5,0,2,0.0,7
episodic,Object,1,3.0,3,1,2.553867341197864,7
episodic,Animal,0,1.5,0,-2,0.0,7
episodic,Scene,1,2.5,2,2,2.495473779746792,7
episodic,Object,0,3.0,3,-1,-1.1489839855930064,7
episodic,Animal,0,3.0,3,-2,0.0,7
episodic,Animal,0,1.5,0,-1,0.0,8
episodic,Scene,0,3.0,3,1,0.0,8
episodic,Food,0,4.0,5,-2,-0.9245652409136829,8
episodic,Object,0,2.0,1,-1,0.0,8
episodic,Animal,1,2.5,2,4,1.8031551854936645,8
episodic,Food,0,3.0,3,-2,0.0,8
episodic,Object,1,4.5,6,1,1.2069721386935708,2
episodic,Food,0,2.5,2,-3,-1.9374471964636153,2
episodic,Scene,0,2.0,1,2,0.0,2
episodic,Animal,0,4.0,5,-1,-1.1564733922022017,8
episodic,Scene,0,3.0,3,-2,0.0,8
episodic,Food,0,2.0,1,2,0.0,8
episodic,Red,0,3.0,3,-3,-3.033960406253322,2
episodic,Green,0,3.0,3,-1,0.0,2
episodic,Blue,0,2.5,2,2,0.0,2
episodic,Green,0,3.5,4,-1,-1.7449151785720312,7
episodic,Yellow,0,4.0,5,-2,-0.9517811376096676,7
episodic,Red,1,3.0,3,2,1.3791629081985626,7
episodic,Scene,0,1.5,0,-1,0.0,6
episodic,Food,0,2.5,2,2,-0.7094332915852237,6
episodic,Object,0,2.0,1,-2,0.0,6
episodic,Object,1,2.5,2,2,1.98188192536271,3
episodic,Animal,0,2.5,2,-1,-0.3029045509721291,3
episodic,Scene,1,4.0,5,-1,0.2362491730403451,3
episodic,Blue,0,2.5,2,-1,-1.2403859940806337,3
episodic,Yellow,0,1.5,0,-1,0.0,3
episodic,Red,0,1.5,0,1,0.0,3
episodic,Red,0,2.0,1,-4,0.0,6
episodic,Green,0,3.5,4,2,0.0,6
episodic,Blue,1,3.5,4,3,4.320145679841115,6
episodic,Yellow,1,4.0,5,1,0.30580143264652904,4
episodic,Red,0,2.0,1,-1,-0.8104509715579611,4
episodic,Blue,1,2.5,2,-1,1.4547283039944796,4
episodic,Green,0,4.0,5,-1,-0.8913384592742706,8
episodic,Yellow,1,2.0,1,-1,1.1307836857559606,8
episodic,Red,1,3.0,3,2,2.094743783190101,8
episodic,Food,0,1.5,0,-1,0.0,8
episodic,Object,0,1.5,0,-2,0.0,8
